Timestamp;Date;Type;Detail
18:36:15.8358902;20-02-2025;Session Status;Start;Environment: Circular;Display Mode: Plane;Dimension: 1,3,1;Browsing Mode: Online;;
18:36:43.6848753;20-02-2025;Selection;Selected;Url: https://www.google.cl/?hl=es;
18:36:51.4238621;20-02-2025;Category;Added;Url: https://www.google.cl/?hl=es;Name: Hola;
18:37:01.4245542;20-02-2025;Category;Removed;Url: https://www.google.cl/?hl=es;Name: Hola;
18:37:01.4812600;20-02-2025;Category;Removed;Url: https://www.google.cl/?hl=es;Name: Hola;
18:37:06.7763984;20-02-2025;Category;Removed;Url: https://www.google.cl/?hl=es;Name: Hola;
18:37:06.7784241;20-02-2025;Category;Added;Url: https://www.google.cl/?hl=es;Name: Hola;
18:37:18.8504815;20-02-2025;Category;Removed;Url: https://www.google.cl/?hl=es;Name: Hola;
18:37:18.8519855;20-02-2025;Category;Added;Url: https://www.google.cl/?hl=es;Name: Hola;
18:37:21.1682581;20-02-2025;Category;Removed;Url: https://www.google.cl/?hl=es;Name: Hola;
18:37:21.1703091;20-02-2025;Category;Added;Url: https://www.google.cl/?hl=es;Name: Hola;
18:37:22.3499972;20-02-2025;Category;Removed;Url: https://www.google.cl/?hl=es;Name: Hola;
18:37:22.3520016;20-02-2025;Category;Added;Url: https://www.google.cl/?hl=es;Name: Hola;
18:37:23.0215817;20-02-2025;Category;Removed;Url: https://www.google.cl/?hl=es;Name: Hola;
18:37:23.0230852;20-02-2025;Category;Added;Url: https://www.google.cl/?hl=es;Name: Hola;
18:37:25.1527311;20-02-2025;Category;Removed;Url: https://www.google.cl/?hl=es;Name: Hola;
18:37:25.1547623;20-02-2025;Category;Added;Url: https://www.google.cl/?hl=es;Name: Hola;
18:37:26.4983641;20-02-2025;Category;Removed;Url: https://www.google.cl/?hl=es;Name: Hola;
18:37:26.5003957;20-02-2025;Category;Added;Url: https://www.google.cl/?hl=es;Name: Hola;
18:37:35.1890526;20-02-2025;Category;Removed;Url: https://www.google.cl/?hl=es;Name: Hola;
18:37:35.1905558;20-02-2025;Category;Added;Url: https://www.google.cl/?hl=es;Name: Hola;
18:37:36.8236167;20-02-2025;Category;Removed;Url: https://www.google.cl/?hl=es;Name: Hola;
18:37:36.8256305;20-02-2025;Category;Added;Url: https://www.google.cl/?hl=es;Name: Hola;
18:37:47.4547460;20-02-2025;Category;Removed;Url: https://www.google.cl/?hl=es;Name: Hola;
18:37:47.4557576;20-02-2025;Category;Added;Url: https://www.google.cl/?hl=es;Name: Hola;
18:37:54.9485386;20-02-2025;Category;Removed;Url: https://www.google.cl/?hl=es;Name: Adios;
18:38:04.1943902;20-02-2025;Category;Removed;Url: https://www.google.cl/?hl=es;Name: Adios;
18:38:04.1964630;20-02-2025;Category;Added;Url: https://www.google.cl/?hl=es;Name: Adios;
18:38:06.7938608;20-02-2025;Category;Removed;Url: https://www.google.cl/?hl=es;Name: Adios;
18:38:06.7969147;20-02-2025;Category;Added;Url: https://www.google.cl/?hl=es;Name: Adios;
18:38:07.2847269;20-02-2025;Category;Removed;Url: https://www.google.cl/?hl=es;Name: Adios;
18:38:07.2872623;20-02-2025;Category;Added;Url: https://www.google.cl/?hl=es;Name: Adios;
18:38:07.5941296;20-02-2025;Category;Removed;Url: https://www.google.cl/?hl=es;Name: Adios;
18:38:07.5961711;20-02-2025;Category;Added;Url: https://www.google.cl/?hl=es;Name: Adios;
18:38:07.8688375;20-02-2025;Category;Removed;Url: https://www.google.cl/?hl=es;Name: Adios;
18:38:07.8713615;20-02-2025;Category;Added;Url: https://www.google.cl/?hl=es;Name: Adios;
18:38:09.4735436;20-02-2025;Category;Removed;Url: https://www.google.cl/?hl=es;Name: Adios;
18:38:09.4756238;20-02-2025;Category;Added;Url: https://www.google.cl/?hl=es;Name: Adios;
18:38:09.9403220;20-02-2025;Category;Removed;Url: https://www.google.cl/?hl=es;Name: Adios;
18:38:09.9428433;20-02-2025;Category;Added;Url: https://www.google.cl/?hl=es;Name: Adios;
18:38:16.8945692;20-02-2025;Category;Removed;Url: https://www.google.cl/?hl=es;Name: Adios;
18:38:16.8965946;20-02-2025;Category;Added;Url: https://www.google.cl/?hl=es;Name: Adios;
18:38:17.8626032;20-02-2025;Category;Removed;Url: https://www.google.cl/?hl=es;Name: Adios;
18:38:17.8657316;20-02-2025;Category;Added;Url: https://www.google.cl/?hl=es;Name: Adios;
18:39:17.6578549;20-02-2025;Category;Removed;Url: https://www.google.cl/?hl=es;Name: Adios;
18:39:17.6613802;20-02-2025;Category;Added;Url: https://www.google.cl/?hl=es;Name: Adios;
