Timestamp;Date;Type;Detail
20:10:08.5847333;20-02-2025;Session Status;Start;Environment: Circular;Display Mode: Plane;Dimension: 1,3,1;Browsing Mode: Online;;
20:10:21.8781839;20-02-2025;Selection;Selected;Url: https://www.google.cl/?hl=es;
20:10:31.8332772;20-02-2025;Category;Removed;Url: https://www.google.cl/?hl=es;Name: Prueba 4;
20:10:34.1017391;20-02-2025;Category;Added;Url: https://www.google.cl/?hl=es;Name: Prueba 4;
20:11:22.1604010;20-02-2025;Category;Removed;Url: https://www.google.cl/?hl=es;Name: Prueba 4;
20:11:22.2823418;20-02-2025;Category;Added;Url: https://www.google.cl/?hl=es;Name: Prueba 4;
20:11:25.0136734;20-02-2025;Category;Removed;Url: https://www.google.cl/?hl=es;Name: Prueba 4;
20:11:25.8077994;20-02-2025;Category;Added;Url: https://www.google.cl/?hl=es;Name: Prueba 4;
20:11:25.9370008;20-02-2025;Category;Removed;Url: https://www.google.cl/?hl=es;Name: Prueba 4;
20:11:54.6081561;20-02-2025;Category;Added;Url: https://www.google.cl/?hl=es;Name: Prueba 4;
20:11:56.2895081;20-02-2025;Category;Removed;Url: https://www.google.cl/?hl=es;Name: Prueba 4;
20:11:56.3562454;20-02-2025;Category;Added;Url: https://www.google.cl/?hl=es;Name: Prueba 4;
20:11:57.2666673;20-02-2025;Category;Removed;Url: https://www.google.cl/?hl=es;Name: Prueba 4;
20:11:58.3045385;20-02-2025;Category;Added;Url: https://www.google.cl/?hl=es;Name: Prueba 4;
20:11:58.3728923;20-02-2025;Category;Removed;Url: https://www.google.cl/?hl=es;Name: Prueba 4;
20:11:59.1205985;20-02-2025;Category;Added;Url: https://www.google.cl/?hl=es;Name: Prueba 4;
20:11:59.9426688;20-02-2025;Category;Removed;Url: https://www.google.cl/?hl=es;Name: Prueba 4;
20:12:00.0654923;20-02-2025;Category;Added;Url: https://www.google.cl/?hl=es;Name: Prueba 4;
20:12:00.8051012;20-02-2025;Category;Removed;Url: https://www.google.cl/?hl=es;Name: Prueba 4;
20:12:01.6565307;20-02-2025;Category;Added;Url: https://www.google.cl/?hl=es;Name: Prueba 4;
20:12:01.7814916;20-02-2025;Category;Removed;Url: https://www.google.cl/?hl=es;Name: Prueba 4;
20:12:02.6276141;20-02-2025;Category;Added;Url: https://www.google.cl/?hl=es;Name: Prueba 4;
20:12:04.2544752;20-02-2025;Category;Removed;Url: https://www.google.cl/?hl=es;Name: Prueba 4;
20:12:04.3057653;20-02-2025;Category;Added;Url: https://www.google.cl/?hl=es;Name: Prueba 4;
20:12:06.2572502;20-02-2025;Category;Removed;Url: https://www.google.cl/?hl=es;Name: Prueba 4;
20:12:09.0796529;20-02-2025;Category;Added;Url: https://www.google.cl/?hl=es;Name: Prueba 4;
20:12:09.1389091;20-02-2025;Category;Removed;Url: https://www.google.cl/?hl=es;Name: Prueba 4;
