Timestamp;Date;Type;Detail
15:26:41.0213023;24-02-2025;Session Status;Start;Environment: Circular;Display Mode: Plane;Dimension: 1,3,1;Browsing Mode: Online;;
15:26:50.3740976;24-02-2025;Selection;Selected;Url: https://www.latercera.com/;
15:26:54.6708429;24-02-2025;Category;Added;Url: https://www.latercera.com/;Name: Prueba 7;
15:27:00.9035546;24-02-2025;Category;Removed;Url: https://www.latercera.com/;Name: Prueba 7;
15:27:01.6317131;24-02-2025;Category;Added;Url: https://www.latercera.com/;Name: Prueba 7;
15:27:02.2277934;24-02-2025;Category;Removed;Url: https://www.latercera.com/;Name: Prueba 7;
15:27:02.8032455;24-02-2025;Category;Added;Url: https://www.latercera.com/;Name: Prueba 7;
15:27:03.3109144;24-02-2025;Category;Removed;Url: https://www.latercera.com/;Name: Prueba 7;
15:27:03.7984606;24-02-2025;Category;Added;Url: https://www.latercera.com/;Name: Prueba 7;
15:27:04.2393583;24-02-2025;Category;Removed;Url: https://www.latercera.com/;Name: Prueba 7;
15:27:04.7351742;24-02-2025;Category;Added;Url: https://www.latercera.com/;Name: Prueba 7;
15:27:05.2814304;24-02-2025;Category;Removed;Url: https://www.latercera.com/;Name: Prueba 7;
15:27:05.7582472;24-02-2025;Category;Added;Url: https://www.latercera.com/;Name: Prueba 7;
15:27:06.2037955;24-02-2025;Category;Removed;Url: https://www.latercera.com/;Name: Prueba 7;
