Timestamp;Date;Type;Detail
13:46:06.7306282;24-02-2025;Session Status;Start;Environment: Circular;Display Mode: Plane;Dimension: 1,3,1;Browsing Mode: Online;;
13:47:39.8605594;24-02-2025;Selection;Selected;Url: https://www.latercera.com/nacional/noticia/actor-pedro-campos-enfrenta-a-juez-por-supuesto-llamado-para-evitar-que-testigo-declarara-a-favor-de-su-padre/XGSP3MYTSVB2BHHKUDUMQEKKPI/;
13:47:42.6168321;24-02-2025;Category;Added;Url: https://www.latercera.com/nacional/noticia/actor-pedro-campos-enfrenta-a-juez-por-supuesto-llamado-para-evitar-que-testigo-declarara-a-favor-de-su-padre/XGSP3MYTSVB2BHHKUDUMQEKKPI/;Name: Prueba 7;
13:47:43.9520017;24-02-2025;Category;Removed;Url: https://www.latercera.com/nacional/noticia/actor-pedro-campos-enfrenta-a-juez-por-supuesto-llamado-para-evitar-que-testigo-declarara-a-favor-de-su-padre/XGSP3MYTSVB2BHHKUDUMQEKKPI/;Name: Prueba 7;
13:47:44.7862034;24-02-2025;Category;Added;Url: https://www.latercera.com/nacional/noticia/actor-pedro-campos-enfrenta-a-juez-por-supuesto-llamado-para-evitar-que-testigo-declarara-a-favor-de-su-padre/XGSP3MYTSVB2BHHKUDUMQEKKPI/;Name: Prueba 7;
13:47:45.5481075;24-02-2025;Category;Removed;Url: https://www.latercera.com/nacional/noticia/actor-pedro-campos-enfrenta-a-juez-por-supuesto-llamado-para-evitar-que-testigo-declarara-a-favor-de-su-padre/XGSP3MYTSVB2BHHKUDUMQEKKPI/;Name: Prueba 7;
13:47:47.6546008;24-02-2025;Category;Added;Url: https://www.latercera.com/nacional/noticia/actor-pedro-campos-enfrenta-a-juez-por-supuesto-llamado-para-evitar-que-testigo-declarara-a-favor-de-su-padre/XGSP3MYTSVB2BHHKUDUMQEKKPI/;Name: Prueba 7;
13:47:50.0505268;24-02-2025;Category;Removed;Url: https://www.latercera.com/nacional/noticia/actor-pedro-campos-enfrenta-a-juez-por-supuesto-llamado-para-evitar-que-testigo-declarara-a-favor-de-su-padre/XGSP3MYTSVB2BHHKUDUMQEKKPI/;Name: Prueba 7;
13:47:51.7145389;24-02-2025;Category;Added;Url: https://www.latercera.com/nacional/noticia/actor-pedro-campos-enfrenta-a-juez-por-supuesto-llamado-para-evitar-que-testigo-declarara-a-favor-de-su-padre/XGSP3MYTSVB2BHHKUDUMQEKKPI/;Name: Prueba 6;
13:47:52.6223798;24-02-2025;Category;Removed;Url: https://www.latercera.com/nacional/noticia/actor-pedro-campos-enfrenta-a-juez-por-supuesto-llamado-para-evitar-que-testigo-declarara-a-favor-de-su-padre/XGSP3MYTSVB2BHHKUDUMQEKKPI/;Name: Prueba 6;
13:48:00.8874078;24-02-2025;Category;Added;Url: https://www.latercera.com/nacional/noticia/actor-pedro-campos-enfrenta-a-juez-por-supuesto-llamado-para-evitar-que-testigo-declarara-a-favor-de-su-padre/XGSP3MYTSVB2BHHKUDUMQEKKPI/;Name: Prueba 7;
13:48:07.2600519;24-02-2025;Category;Removed;Url: https://www.latercera.com/nacional/noticia/actor-pedro-campos-enfrenta-a-juez-por-supuesto-llamado-para-evitar-que-testigo-declarara-a-favor-de-su-padre/XGSP3MYTSVB2BHHKUDUMQEKKPI/;Name: Prueba 7;
