sessionName,userId,soundFile,prefabType,roomIndex,direction,timestamp
Prueba5,1,Flares of the Blazing Sun Honkai Star Rail,80sTelevision,1,POR LA IZQUIERDA,2026-05-11 17:41:09
Prueba5,1,Ravings Honkai Star Rail,80sTelevision,3,POR LA DERECHA,2026-05-11 17:42:47
Prueba5,1,Splatoon-Inkling Girl SFX,80sTelevision,1,IZQUIERDA,2026-05-13 17:37:41
Prueba5,1,Splatoon-Inkling Girl SFX,MirrorComode,2,IZQUIERDA,2026-05-13 20:31:32
Prueba5,1,Splatoon-Inkling Girl SFX,80sTelevision,5,DERECHA,2026-05-14 01:03:10
Prueba5,1,Splatoon-Inkling Girl SFX,80sTelevision,5,IZQUIERDA,2026-05-14 01:08:25
Prueba5,1,Splatoon-Inkling Girl SFX,80sTelevision,5,RIGHT,2026-05-14 01:36:49
Prueba5,1,Splatoon-Inkling Girl SFX,80sTelevision,5,izquierda,2026-05-14 18:36:16
Prueba5,1,Splatoon-Inkling Girl SFX,80sTelevision,5,izquierda,2026-05-14 18:53:44
Prueba5,1,Splatoon-Inkling Girl SFX,80sTelevision,5,izquierda,2026-05-14 19:04:47
Prueba5,1,Splatoon-Inkling Girl SFX,80sTelevision,5,izquierda,2026-05-14 19:04:47
Prueba5,1,Splatoon-Inkling Girl SFX,80sTelevision,5,izquierda,2026-05-14 19:04:47
Prueba5,1,Splatoon-Inkling Girl SFX,80sTelevision,3,IZQUIERDA,2026-05-14 19:24:01
Prueba5,1,Splatoon-Inkling Girl SFX,80sTelevision,3,IZQUIERDA,2026-05-14 19:24:01
Prueba5,1,Splatoon-Inkling Girl SFX,chair,2,IZQUIERDA,2026-05-14 19:40:14
Prueba5,1,Splatoon-Inkling Girl SFX,chair,2,IZQUIERDA,2026-05-14 19:45:20
Prueba5,1,Splatoon-Inkling Girl SFX,80sTelevision,6,DERECHA,2026-05-14 21:26:19
Prueba5,1,Splatoon-Inkling Girl SFX,80sTelevision,1,DERECHA,2026-05-15 04:59:52
Prueba5,1,Splatoon-Inkling Girl SFX,80sTelevision,1,DERECHA,2026-05-15 05:01:50
Prueba5,1,Splatoon-Inkling Girl SFX,80sTelevision,1,DERECHA,2026-05-15 05:05:50
