sessionName,userId,soundFile,actualObject,actualRoom,answeredRoom,answeredObject,correctRoom,correctObject,timestamp
Prueba5,1,Splatoon-Inkling Girl SFX,Television 1,6,6,Television 1,True,True,2026-05-14 01:42:19
Prueba5,1,Splatoon-Inkling Girl SFX,Television 1,5,5,Television 2,True,False,2026-05-14 18:40:45
Prueba5,1,Splatoon-Inkling Girl SFX,Television 1,5,5,Television 1,True,True,2026-05-14 18:53:59
Prueba5,1,Splatoon-Inkling Girl SFX,Television 1,5,5,Television 2,True,False,2026-05-14 18:55:48
Prueba5,1,Splatoon-Inkling Girl SFX,Television 2,3,3,Television 1,True,False,2026-05-14 19:23:37
Prueba5,1,Splatoon-Inkling Girl SFX,Silla,2,2,Silla,True,True,2026-05-14 19:38:56
Prueba5,1,Splatoon-Inkling Girl SFX,Silla,2,2,Silla,True,True,2026-05-14 19:43:38
Prueba5,1,Splatoon-Inkling Girl SFX,Television 1,3,6,Closet 1,False,False,2026-05-14 20:31:26
Prueba5,1,Splatoon-Inkling Girl SFX,Television 1,5,5,Television 1,True,True,2026-05-14 20:41:07
Prueba5,1,Splatoon-Inkling Girl SFX,Television 1,6,6,Sillon,True,False,2026-05-14 21:26:01
Prueba5,1,Splatoon-Inkling Girl SFX,Television 1,2,2,Television 1,True,True,2026-05-14 21:56:50
Prueba5,1,Splatoon-Inkling Girl SFX,Television 2,1,1,Television 1,True,False,2026-05-15 04:59:07
Prueba5,1,Splatoon-Inkling Girl SFX,Television 2,1,1,Television 2,True,True,2026-05-15 05:01:37
Prueba5,1,Splatoon-Inkling Girl SFX,Television 2,1,1,Television 2,True,True,2026-05-15 05:05:10
Prueba5,1,Splatoon-Inkling Girl SFX,Television 1,6,6,Television 2,True,False,2026-05-15 05:23:42
